Date,Open,High,Low,Close,Adj Close,Volume
2016-03-03,93.6,93.72,91.69,93.72,93.72,75124
2016-03-04,0.06,0.06,0.05,0.05,0.05,222000
2016-03-07,17.25,18.45,17.25,17.9,17.9,839546
2016-03-08,0.06,0.06,0.04,0.05,0.05,96000
2016-03-09,0.06,0.06,0.06,0.06,0.06,0
2016-03-10,91.3,92.7,90.2,90.21,90.21,39189
2016-03-11,18.34,18.89,18.01,18.62,18.62,326621
2016-03-14,0.1,0.1,0.1,0.1,0.1,0
2016-03-15,93.2,93.2,91.06,91.5,91.5,53316
2016-03-16,92.45,92.45,88.39,89.68,89.68,115587
2016-03-17,18.89,19.26,18.7,19.26,19.26,1354753
2016-03-18,0.06,0.06,0.06,0.06,0.06,21000
2016-03-21,0.1,0.1,0.1,0.1,0.1,0
2016-03-22,92.9,93.55,91.5,93.55,93.55,47731
2016-03-23,0.1,0.1,0.1,0.1,0.1,0
2016-03-24,19.6,19.66,19.27,19.3,19.3,715105
2016-03-28,19.3,19.3,19.3,19.3,19.3,0
2016-03-29,0.1,0.1,0.1,0.1,0.1,0
2016-03-30,19.31,19.7,19.26,19.55,19.55,876950
2016-03-31,0.1,0.1,0.1,0.1,0.1,0
2016-04-01,19.42,19.77,19.3,19.77,19.77,2154001
2016-04-04,0.1,0.1,0.1,0.1,0.1,0
2016-04-05,0.1,0.1,0.1,0.1,0.1,0
2016-04-06,20.05,20.1,19.71,19.77,19.77,2785566
2016-04-07,19.55,19.94,19.55,19.9,19.9,551262
2016-04-08,19.89,20.32,19.8,20.0,20.0,720573
2016-04-11,0.06,0.06,0.05,0.05,0.05,367000
2016-04-12,0.06,0.06,0.06,0.06,0.06,643000
2016-04-13,90.15,90.8,89.65,89.9,89.9,34327
2016-04-14,0.06,0.06,0.06,0.06,0.06,82000
2016-04-15,20.08,20.19,20.0,20.1,20.1,427586
2016-04-18,0.06,0.06,0.05,0.06,0.06,219000
2016-04-19,20.37,20.71,20.18,20.25,20.25,498915
2016-04-20,0.08,0.08,0.08,0.08,0.08,0
2016-04-21,20.89,21.45,20.89,21.28,21.28,1785209
2016-04-22,20.8,21.37,20.8,21.37,21.37,695786
2016-04-25,21.37,21.49,21.17,21.27,21.27,1041571
2016-04-26,0.05,0.06,0.04,0.05,0.05,1105000
2016-04-27,88.1,88.42,86.7,87.5,87.5,38269
2016-04-28,0.05,0.05,0.05,0.05,0.05,0
2016-04-29,0.05,0.05,0.05,0.05,0.05,29000
2016-05-02,0.05,0.05,0.05,0.05,0.05,0
2016-05-03,0.05,0.05,0.05,0.05,0.05,0
2016-05-04,87.8,87.8,84.63,85.94,85.94,41582
2016-05-05,85.94,85.94,83.06,83.79,83.79,26892
